Age ,maximum doing during free time?,favourite food?,Gender,Favorite Colour ,Know to cook,season like the most,Likes long travelling,Vehicle prefer to travel,sleeping comfortably,staying comfortably,organism like the most,like to live , family or friends like the more?,total family members
20,Watching Movies,Nonveg Meals,Male,Red ,No,Rainy,Yes,Train,Yes,Yes,Human,Yes,Family,4
20,Watching Movies,Nonveg Meals,Male,Blue ,Yes,Rainy,Yes,Car,Yes,Yes,Domestic Animals,Yes,Family,4
20,Playing Out Door Games,Nonveg Meals,Male,Blue,Yes,Spring,Yes,Car,Yes,Yes,Domestic Animals,Yes,Family,4
20,Speak with my family or friends,Nonveg Meals,Male,Black ,Yes,Summer,Yes,Bike,Yes,Yes,Birds,Yes,Family,3
20,Watching Movies,Nonveg Junk Food,Male,Blue ,Yes,Rainy,Yes,Car,No,No,Birds,No,Family,4
19,Speak with my family or friends,Nonveg Meals,Female,Black,Yes,Winter,Yes,Bike,Yes,Yes,Domestic Animals,No,Family,4
21,Walk with Nature,Nonveg Meals,Male,Red,Yes,Spring,No,Bike,Yes,Yes,Domestic Animals,Yes,Family,6
27,Speak with my family or friends,Nonveg Meals,Female,Grey,Yes,Summer,No,Bike,Yes,Yes,Domestic Animals,Yes,Family,10 / More then 10
36,Speak with my family or friends,Veg Meals,Male,blue,Yes,Summer,No,Bus,Yes,Yes,Human,No,Family,3
36,Watching Movies,Nonveg Meals,Male,Blue,Yes,Spring,Yes,Bike,Yes,Yes,Human,Yes,Family,8
21,Sit in alone,Nonveg Meals,Female,Black ,No,Winter,Yes,Train,Yes,Yes,Domestic Animals,Yes,Family,5
20,Watching Movies,Nonveg Meals,Male,Blue,Yes,Spring,Yes,Car,No,No,Human,Yes,Family,3
21,Watching Movies,Nonveg Meals,Male,Blue,Yes,Winter,Yes,Bike,Yes,Yes,Plants,Yes,Family,4
28,Playing Online Games,Nonveg Meals,Female,Blue and white,Yes,Winter,Yes,Train,No,No,Domestic Animals,Yes,Friends,2
19,Sit in alone,Veg Junk Food,Male,Green ,Yes,Rainy,No,Train,Yes,Yes,Domestic Animals,Yes,Family,3
20,Playing Out Door Games,Nonveg Meals,Male,Blue ,No,Winter,Yes,Bike,Yes,Yes,Human,Yes,Family,8
19,Watching Movies,Nonveg Junk Food,Male,Blue ,Yes,Summer,Yes,Train,Yes,Yes,Plants,Yes,Family,4
20,Speak with my family or friends,Nonveg Meals,Male,Pink,Yes,Rainy,Yes,Car,Yes,Yes,Domestic Animals,Yes,Family,10 / More then 10
22,Playing Out Door Games,Nutritional food,Male,Black ,Yes,Summer,Yes,Car,Yes,Yes,Domestic Animals,Yes,Family,3
20,Walk with Nature,Nonveg Meals,Female,Orange ,Yes,Spring,Yes,Bike,Yes,Yes,Birds,Yes,Friends,4
19,Playing Online Games,Nonveg Meals,Male,Red,No,Winter,Yes,Car,No,Yes,Birds,Yes,Family,4
18,Watching Movies,Nonveg Meals,Male,Red,No,Winter,Yes,Train,Yes,Yes,Birds,Yes,Family,4
20,Watching Movies,Nonveg Meals,Female,Lavender ,Yes,Winter,Yes,Bike,Yes,Yes,Domestic Animals,Yes,Family,5
20,Watching Movies,Nonveg Meals,Male,Black,Yes,Winter,Yes,Bike,Yes,No,Domestic Animals,Yes,Family,3
21,Walk with Nature,Nutritional food,Male,White,Yes,Rainy,Yes,Car,Yes,Yes,Plants,Yes,Family,5
18,Playing Out Door Games,Nonveg Meals,Male,Black,Yes,Winter,Yes,Bike,No,Yes,Domestic Animals,Yes,Family,4
20,Playing Out Door Games,Veg Junk Food,Male,Red,Yes,Winter,Yes,Bike,Yes,Yes,Aquatic Organisms,Yes,Friends,10 / More then 10
18,Playing Out Door Games,Nonveg Meals,Male,Red,No,Winter,Yes,Bike,Yes,Yes,Plants,No,Family,4
20,Sit in alone,Nonveg Junk Food,Male,White ,Yes,Rainy,Yes,Train,No,No,Aquatic Organisms,No,Family,4
20,Watching Movies,Nonveg Junk Food,Male,Red,No,Winter,Yes,Bus,Yes,No,Domestic Animals,No,Family,4
20,Speak with my family or friends,Nutritional food,Female,Black,Yes,Winter,Yes,Bus,Yes,Yes,Plants,Yes,Friends,4
21,Playing Out Door Games,Nonveg Junk Food,Male,Pink,Yes,Summer,Yes,Car,Yes,Yes,Birds,Yes,Family,4
20,Playing Out Door Games,Nonveg Junk Food,Male,Gray,Yes,Rainy,Yes,Car,No,Yes,Domestic Animals,Yes,Family,5
19,Playing Out Door Games,Nonveg Meals,Male,Black ,No,Rainy,Yes,Car,Yes,Yes,All of the above,Yes,Family,7
18,Playing Out Door Games,Nonveg Meals,Male,Pink,No,Winter,Yes,Train,Yes,Yes,Domestic Animals,Yes,Family,4
21,Sit in alone,Nonveg Junk Food,Male,Black,Yes,Winter,Yes,Car,Yes,Yes,Domestic Animals,Yes,Family,10 / More then 10
20,Playing Out Door Games,Nonveg Meals,Male,Red,Yes,Winter,Yes,Bike,Yes,Yes,Human,Yes,Family,5
19,Sit in alone,Veg Meals,Male,Lime,Yes,Spring,Yes,Train,No,No,Wild Animals,No,Family,1
20,Watching Movies,Nutritional food,Male,Blue,Yes,Winter,Yes,Car,Yes,Yes,Wild Animals,Yes,Friends,10 / More then 10
30,Sit in alone,Nonveg Meals,Male,Black ,Yes,Winter,Yes,Car,Yes,Yes,Wild Animals,No,Family,10 / More then 10
21,Watching Movies,Nonveg Meals,Male,Red,Yes,Rainy,Yes,Car,Yes,No,Wild Animals,No,Family,3
23,Speak with my family or friends,Nonveg Meals,Female,Black ,Yes,Rainy,Yes,Bus,Yes,Yes,Domestic Animals,Yes,Family,5
20,Playing Out Door Games,Nonveg Meals,Male,Green,Yes,Winter,Yes,Bike,Yes,Yes,Dog and cats and birds,Yes,Family,5
21,Walk with Nature,Veg Meals,Male,Red,No,Summer,Yes,Car,Yes,Yes,Wild Animals,Yes,Friends,4
28,Playing Out Door Games,Veg Meals,Male,Green,Yes,Summer,No,Bike,Yes,Yes,Plants,Yes,Friends,7
20,Watching Movies,Nonveg Meals,Female,Red,Yes,Rainy,Yes,Bike,Yes,Yes,Human,Yes,Family,4
20,Speak with my family or friends,Nonveg Junk Food,Male,Black and white ,No,Rainy,Yes,Train,Yes,Yes,Wild Animals,Yes,Family,4
19,Watching Movies,Nonveg Meals,Male,Blue,Yes,Spring,Yes,Car,Yes,Yes,Wild Animals,Yes,Friends,4
33,Sit in alone,Nonveg Meals,Female,Light Bink ,Yes,Rainy,Yes,Bus,Yes,Yes,Birds,Yes,Family,10 / More then 10
19,Playing Indoor Games,Nonveg Meals,Male,Blue,No,Winter,Yes,Car,Yes,Yes,Plants,Yes,Family,3
29,Playing Out Door Games,Veg Meals,Male,Green ,Yes,Rainy,Yes,Bike,Yes,Yes,Plants,Yes,Family,4
20,Playing Online Games,Nonveg Junk Food,Male,Green,Yes,Winter,Yes,Bike,Yes,Yes,Birds,Yes,Family,4
20,Playing Out Door Games,Nonveg Junk Food,Male,Dark blue ,No,Spring,No,Car,Yes,Yes,Human,Yes,Family,4
18,Playing Online Games,Nonveg Meals,Male,Sky Blue ,Yes,Winter,Yes,Car,Yes,Yes,Domestic Animals,Yes,Friends,4
20,Playing Out Door Games,Nonveg Meals,Male,Black ,Yes,Summer,Yes,Car,Yes,Yes,Human,Yes,Family,4
20,Speak with my family or friends,Veg Meals,Male,Purple ,Yes,Spring,Yes,Car,Yes,Yes,Plants,Yes,Family,5
19,Sit in alone,Nonveg Meals,Male,Black,Yes,Spring,Yes,Bike,Yes,Yes,Human,Yes,Friends,4
20,Watching Movies,Nonveg Meals,Male,Blue,Yes,Winter,Yes,Car,Yes,Yes,Domestic Animals,Yes,Family,6
19,Playing Out Door Games,Nonveg Meals,Male,blue,Yes,Winter,Yes,Bike,No,Yes,Domestic Animals,Yes,Family,4
20,Playing Out Door Games,Nutritional food,Male,Blue,No,Rainy,No,Bike,Yes,Yes,Domestic Animals,Yes,Family,6
21,Watching Movies,Nonveg Meals,Male,Ocean blue,Yes,Summer,Yes,Train,Yes,No,Plants,Yes,Family,6
